segment,lon (deg),lat (deg),depth (m),slip (m),strike (deg),dip (deg),rake (deg),rupturetime (s),length (m),width (m)
1,179.364605,-37.403330,38.915650,0.000000,354.000000,20.000000,-134.000000,nan,5.000000,5.000000
1,179.357867,-37.358685,38.915650,0.000000,354.000000,20.000000,-134.000000,nan,5.000000,5.000000
1,179.351137,-37.314042,38.915650,0.000000,354.000000,20.000000,-134.000000,nan,5.000000,5.000000
1,179.344417,-37.269400,38.915650,0.000000,354.000000,20.000000,-134.000000,nan,5.000000,5.000000
1,179.337705,-37.224758,38.915650,0.000000,354.000000,20.000000,-134.000000,nan,5.000000,5.000000
1,179.331000,-37.180112,38.915650,0.000000,354.000000,20.000000,-134.000000,nan,5.000000,5.000000
1,179.324303,-37.135467,38.915650,0.010000,354.000000,20.000000,-134.000000,nan,5.000000,5.000000
1,179.317612,-37.090825,38.915650,0.040000,354.000000,20.000000,-134.000000,nan,5.000000,5.000000
1,179.310933,-37.046185,38.915650,0.070000,354.000000,20.000000,-134.000000,nan,5.000000,5.000000
1,179.304260,-37.001542,38.915650,0.100000,354.000000,20.000000,-134.000000,nan,5.000000,5.000000
1,179.297595,-36.956900,38.915650,0.110000,354.000000,20.000000,-134.000000,nan,5.000000,5.000000
1,179.290940,-36.912257,38.915650,0.100000,354.000000,20.000000,-134.000000,nan,5.000000,5.000000
1,179.284293,-36.867615,38.915650,0.070000,354.000000,20.000000,-134.000000,nan,5.000000,5.000000
1,179.277653,-36.822975,38.915650,0.040000,354.000000,20.000000,-134.000000,nan,5.000000,5.000000
1,179.271017,-36.778332,38.915650,0.010000,354.000000,20.000000,-134.000000,nan,5.000000,5.000000
1,179.264392,-36.733690,38.915650,0.000000,354.000000,20.000000,-134.000000,nan,5.000000,5.000000
1,179.311792,-37.408350,37.205550,0.000000,354.000000,20.000000,-134.000000,nan,5.000000,5.000000
1,179.305088,-37.363703,37.205550,0.000000,354.000000,20.000000,-134.000000,nan,5.000000,5.000000
1,179.298387,-37.319057,37.205550,0.000000,354.000000,20.000000,-134.000000,nan,5.000000,5.000000
1,179.291697,-37.274412,37.205550,0.000000,354.000000,20.000000,-134.000000,nan,5.000000,5.000000
1,179.285018,-37.229765,37.205550,0.000000,354.000000,20.000000,-134.000000,nan,5.000000,5.000000
1,179.278345,-37.185117,37.205550,0.000000,354.000000,20.000000,-134.000000,nan,5.000000,5.000000
1,179.271678,-37.140470,37.205550,0.030000,354.000000,20.000000,-134.000000,nan,5.000000,5.000000
1,179.265017,-37.095825,37.205550,0.090000,354.000000,20.000000,-134.000000,nan,5.000000,5.000000
1,179.258368,-37.051182,37.205550,0.150000,354.000000,20.000000,-134.000000,nan,5.000000,5.000000
1,179.251728,-37.006535,37.205550,0.200000,354.000000,20.000000,-134.000000,nan,5.000000,5.000000
1,179.245095,-36.961888,37.205550,0.210000,354.000000,20.000000,-134.000000,nan,5.000000,5.000000
1,179.238470,-36.917243,37.205550,0.180000,354.000000,20.000000,-134.000000,nan,5.000000,5.000000
1,179.231853,-36.872597,37.205550,0.130000,354.000000,20.000000,-134.000000,nan,5.000000,5.000000
1,179.225243,-36.827953,37.205550,0.070000,354.000000,20.000000,-134.000000,nan,5.000000,5.000000
1,179.218640,-36.783307,37.205550,0.020000,354.000000,20.000000,-134.000000,nan,5.000000,5.000000
1,179.212045,-36.738663,37.205550,0.000000,354.000000,20.000000,-134.000000,nan,5.000000,5.000000
1,179.258972,-37.413348,35.495450,0.000000,354.000000,20.000000,-134.000000,nan,5.000000,5.000000
1,179.252297,-37.368695,35.495450,0.000000,354.000000,20.000000,-134.000000,nan,5.000000,5.000000
1,179.245630,-37.324047,35.495450,0.000000,354.000000,20.000000,-134.000000,nan,5.000000,5.000000
1,179.238972,-37.279400,35.495450,0.000000,354.000000,20.000000,-134.000000,nan,5.000000,5.000000
1,179.232323,-37.234750,35.495450,0.000000,354.000000,20.000000,-134.000000,nan,5.000000,5.000000
1,179.225680,-37.190100,35.495450,0.020000,354.000000,20.000000,-134.000000,nan,5.000000,5.000000
1,179.219045,-37.145450,35.495450,0.070000,354.000000,20.000000,-134.000000,nan,5.000000,5.000000
1,179.212417,-37.100803,35.495450,0.160000,354.000000,20.000000,-134.000000,nan,5.000000,5.000000
1,179.205798,-37.056155,35.495450,0.250000,354.000000,20.000000,-134.000000,nan,5.000000,5.000000
1,179.199187,-37.011505,35.495450,0.300000,354.000000,20.000000,-134.000000,nan,5.000000,5.000000
1,179.192588,-36.966855,35.495450,0.300000,354.000000,20.000000,-134.000000,nan,5.000000,5.000000
1,179.185993,-36.922207,35.495450,0.250000,354.000000,20.000000,-134.000000,nan,5.000000,5.000000
1,179.179405,-36.877560,35.495450,0.160000,354.000000,20.000000,-134.000000,nan,5.000000,5.000000
1,179.172827,-36.832910,35.495450,0.080000,354.000000,20.000000,-134.000000,nan,5.000000,5.000000
1,179.166258,-36.788263,35.495450,0.030000,354.000000,20.000000,-134.000000,nan,5.000000,5.000000
1,179.159693,-36.743615,35.495450,0.000000,354.000000,20.000000,-134.000000,nan,5.000000,5.000000
1,179.206143,-37.418320,33.785350,0.000000,354.000000,20.000000,-134.000000,nan,5.000000,5.000000
1,179.199500,-37.373665,33.785350,0.000000,354.000000,20.000000,-134.000000,nan,5.000000,5.000000
1,179.192865,-37.329015,33.785350,0.000000,354.000000,20.000000,-134.000000,nan,5.000000,5.000000
1,179.186238,-37.284363,33.785350,0.000000,354.000000,20.000000,-134.000000,nan,5.000000,5.000000
1,179.179620,-37.239710,33.785350,0.020000,354.000000,20.000000,-134.000000,nan,5.000000,5.000000
1,179.173008,-37.195058,33.785350,0.070000,354.000000,20.000000,-134.000000,nan,5.000000,5.000000
1,179.166403,-37.150405,33.785350,0.160000,354.000000,20.000000,-134.000000,nan,5.000000,5.000000
1,179.159810,-37.105755,33.785350,0.270000,354.000000,20.000000,-134.000000,nan,5.000000,5.000000
